symbol,epic,type,expiry,marginFactor,minDealSize
"BELFB","BELFB","-","-","",""
"BENAU","BENAU","-","-","",""
"BEN","BEN","-","-","",""
"BERAUSD","BERAUSD","-","-","",""
"BESI","BESI","-","-","",""
"BETHUSD","BETHUSD","-","-","",""
"BETR","BETR","-","-","",""
"BETSB","BETSB","-","-","",""
"BEZ","BEZ","-","-","",""
"BFBUS","BFBUS","-","-","",""
"BFLY","BFLY","-","-","",""
"BFS","BFS","-","-","",""
"BFSP","BFSP","-","-","",""
"BGAAU","BGAAU","-","-","",""
"BGEO","BGEO","-","-","",""
"BGFD","BGFD","-","-","",""
"BGFV","BGFV","-","-","",""
"BGN","BGN","-","-","",""
"BGO","BGO","-","-","",""
"BGSGB","BGSGB","-","-","",""
"BHC","BHC","-","-","",""
"BHE","BHE","-","-","",""
"BHF","BHF","-","-","",""
"BHM","BHM","-","-","",""
"BHPAU","BHPAU","-","-","",""
"BHP","BHP","-","-","",""
"BHPGB","BHPGB","-","-","",""
"BICOUSD","BICOUSD","-","-","",""
"BICP","BICP","-","-","",""
"BIDU","BIDU","-","-","",""
"BIGB","BIGB","-","-","",""
"BIGTIMEUSD","BIGTIMEUSD","-","-","",""
"BIIB","BIIB","-","-","",""
"BILDCO","BILDCO","-","-","",""
"BILIA","BILIA","-","-","",""
"BILI","BILI","-","-","",""
"BILL","BILL","-","-","",""
"BILN","BILN","-","-","",""
"BIM","BIM","-","-","",""
"BIOAB","BIOAB","-","-","",""
"BIOGB","BIOGB","-","-","",""
"BION","BION","-","-","",""
"BIOUSD","BIOUSD","-","-","",""
"BIP","BIP","-","-","",""
"BIRD","BIRD","-","-","",""
"BIRG","BIRG","-","-","",""
"BIT","BIT","-","-","",""
"BITF","BITF","-","-","",""
"BITUSD","BITUSD","-","-","",""
"BJ","BJ","-","-","",""
"BJK","BJK","-","-","",""
"BK","BK","-","-","",""
"BKD","BKD","-","-","",""
"BKE","BKE","-","-","",""
